2.46,-1.46E-03
2.47,-9.98E-04
2.48,-4.39E-04
2.49,2.58E-04
2.5,1.05E-03
2.51,9.91E-04
2.52,1.65E-04
2.53,-7.67E-04
2.54,-1.02E-03
2.55,-1.59E-03
2.56,-2.93E-03
2.57,-4.09E-03
2.58,-4.03E-03
2.59,-3.58E-03
2.6,-3.73E-03
2.61,-3.51E-03
2.62,-2.52E-03
2.63,-2.51E-03
2.64,-1.99E-03
2.65,-8.02E-05
2.66,1.30E-03
2.67,1.26E-03
2.68,1.19E-03
2.69,1.60E-03
2.7,1.69E-03
2.71,2.45E-03
2.72,3.07E-03
2.73,1.00E-03
2.74,-2.51E-03
2.75,-4.34E-03
2.76,-5.22E-03
2.77,-6.08E-03
2.78,-5.49E-03
2.79,-3.85E-03
2.8,-1.92E-03
2.81,-3.53E-04
2.82,2.02E-04
2.83,-5.76E-04
2.84,-2.15E-03
2.85,-3.58E-03
2.86,-4.23E-03
2.87,-3.87E-03
2.88,-4.47E-03
2.89,-6.38E-03
2.9,-7.42E-03
2.91,-6.72E-03
2.92,-5.32E-03
2.93,-4.06E-03
2.94,-3.84E-03
2.95,-4.88E-03
2.96,-4.88E-03
2.97,-3.37E-03
2.98,-2.09E-03
2.99,-7.54E-04
3,1.92E-03
3.01,4.51E-03
3.02,4.19E-03
3.03,6.18E-04
3.04,-4.21E-03
3.05,-7.58E-03
3.06,-8.15E-03
3.07,-5.73E-03
3.08,-2.51E-03
3.09,-1.63E-03
3.1,-3.40E-03
3.11,-5.55E-03
3.12,-6.21E-03
3.13,-7.07E-03
3.14,-8.41E-03
3.15,-8.25E-03
3.16,-7.11E-03
3.17,-6.09E-03
3.18,-5.43E-03
3.19,-5.26E-03
3.2,-5.67E-03
3.21,-5.57E-03
3.22,-2.94E-03
3.23,1.23E-03
3.24,3.01E-03
3.25,3.12E-04
3.26,-2.71E-03
3.27,-3.23E-03
3.28,-1.92E-03
3.29,-1.24E-04
3.3,6.07E-04
3.31,-9.14E-04
3.32,-3.63E-03
3.33,-5.39E-03
3.34,-6.03E-03
3.35,-6.37E-03
3.36,-5.53E-03
3.37,-3.00E-03
3.38,-5.97E-04
3.39,-6.84E-04
3.4,-4.67E-03
3.41,-9.55E-03
3.42,-1.19E-02
3.43,-1.14E-02
3.44,-1.04E-02
3.45,-9.81E-03
3.46,-9.23E-03
3.47,-8.32E-03
3.48,-5.30E-03
3.49,1.96E-04
3.5,5.30E-03
3.51,6.59E-03
3.52,4.52E-03
3.53,3.02E-03
3.54,2.25E-03
3.55,8.23E-04
3.56,-7.98E-05
3.57,-1.20E-04
3.58,3.19E-04
3.59,-3.80E-04
3.6,-3.25E-03
3.61,-6.16E-03
3.62,-7.30E-03
3.63,-8.68E-03
3.64,-1.05E-02
3.65,-9.73E-03
3.66,-5.20E-03
3.67,6.68E-04
3.68,5.52E-03
3.69,7.83E-03
3.7,7.34E-03
3.71,4.08E-03
3.72,-1.89E-03
3.73,-7.68E-03
3.74,-1.06E-02
3.75,-1.09E-02
3.76,-9.40E-03
3.77,-7.44E-03
3.78,-7.26E-03
3.79,-7.46E-03
3.8,-4.27E-03
3.81,4.52E-03
3.82,1.63E-02
3.83,2.53E-02
3.84,2.61E-02
3.85,1.81E-02
3.86,4.91E-03
3.87,-7.55E-03
3.88,-1.59E-02
3.89,-1.92E-02
3.9,-1.70E-02
3.91,-1.22E-02
3.92,-8.75E-03
3.93,-6.18E-03
3.94,-3.33E-03
3.95,-5.06E-05
3.96,2.91E-03
3.97,5.43E-03
3.98,5.36E-03
3.99,1.51E-03
4,-3.67E-03
4.01,-7.37E-03
4.02,-9.17E-03
4.03,-9.68E-03
4.04,-8.83E-03
4.05,-6.65E-03
4.06,-4.48E-03
4.07,-2.04E-03
4.08,1.91E-03
4.09,8.29E-03
4.1,1.65E-02
4.11,2.34E-02
4.12,2.47E-02
4.13,1.75E-02
4.14,5.54E-03
