Time,U1_nodamp,U1_tmd,U2_nodamp,U2_tmd,U3_nodamp,U3_tmd
0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-2.6897979446538558e-08,-2.6897979494927836e-08,-2.689999978633941e-08,-2.6899999786344528e-08,-2.6899999999977404e-08,-2.6899999999977404e-08
0.03,-1.0738309414840443e-07,-1.073830946530711e-07,-1.0739999767176405e-07,-1.0739999767183039e-07,-1.0739999999969661e-07,-1.0739999999969663e-07
0.04,-2.4113877718514495e-07,-2.4113877959058236e-07,-2.4119998829308544e-07,-2.4119998829349197e-07,-2.4119999999806386e-07,-2.411999999980639e-07
0.05,-4.27844042877293e-07,-4.27844050616997e-07,-4.2799996030755373e-07,-4.279999603092142e-07,-4.2799999999175807e-07,-4.2799999999175834e-07
0.06,-6.67190182083949e-07,-6.671902017866722e-07,-6.675165604902809e-07,-6.675165604955253e-07,-6.67516666639575e-07,-6.675166666395765e-07
0.07,-9.588807888634457e-07,-9.588808318213887e-07,-9.594830908030234e-07,-9.594830908168959e-07,-9.594833332588762e-07,-9.594833332588813e-07
0.08,-1.3024151426990623e-06,-1.3024152266054555e-06,-1.3034328384393918e-06,-1.3034328384716387e-06,-1.3034333331538324e-06,-1.3034333331538455e-06
0.09,-1.6972216109945682e-06,-1.6972217619568966e-06,-1.6988324055218168e-06,-1.698832405589761e-06,-1.6988333329417841e-06,-1.698833332941814e-06
0.1,-2.1429410175459685e-06,-2.1429412723812013e-06,-2.1453650384548163e-06,-2.1453650385873316e-06,-2.145366665877355e-06,-2.1453666658774155e-06
0.11,-2.6394099732238096e-06,-2.639410382043522e-06,-2.6429139569316667e-06,-2.642913957174503e-06,-2.642916665173916e-06,-2.642916665174032e-06
0.12,-3.1864942094526235e-06,-3.1864948385466226e-06,-3.1913956825924706e-06,-3.1913956830152027e-06,-3.191399997321981e-06,-3.1913999973221994e-06
0.13,-3.783755291121494e-06,-3.7837562261472998e-06,-3.790426700672978e-06,-3.7904267013778694e-06,-3.7904333287374e-06,-3.7904333287378008e-06
0.14,-4.430584033883866e-06,-4.430585383367231e-06,-4.439456787989915e-06,-4.43945678912302e-06,-4.439466659072222e-06,-4.43946665907293e-06
0.15,-5.126750534281113e-06,-5.1267524334328935e-06,-5.138319007268147e-06,-5.138319009032997e-06,-5.1383333211877004e-06,-5.138333321188914e-06
0.16,-5.87235413083157e-06,-5.872356745689009e-06,-5.887179701135128e-06,-5.887179703809383e-06,-5.88719998112224e-06,-5.8871999811242495e-06
0.17,-6.667973325792325e-06,-6.667976857695333e-06,-6.686688485770968e-06,-6.686688489726444e-06,-6.686716638053745e-06,-6.686716638056974e-06
0.18,-7.514199038002034e-06,-7.514203728416088e-06,-7.537511577538764e-06,-7.537511583265263e-06,-7.5375499575890785e-06,-7.537549957594143e-06
0.19,-8.410301365642144e-06,-8.41030750133535e-06,-8.438998452608182e-06,-8.438998460741596e-06,-8.439049938380024e-06,-8.439049938387794e-06
0.2,-9.354479870934656e-06,-9.354487789507565e-06,-9.389431839615336e-06,-9.389431850970517e-06,-9.389499912065104e-06,-9.389499912076793e-06
0.21,-1.034543043670862e-05,-1.0345440532472548e-05,-1.0387594378722245e-05,-1.0387594394331144e-05,-1.0387683209869937e-05,-1.038768320988719e-05
0.22,-1.1382528606992505e-05,-1.1382541337198126e-05,-1.143295194706648e-05,-1.1432951968222137e-05,-1.1433066495865423e-05,-1.1433066495890456e-05
0.23,-1.2465262916391703e-05,-1.2465278807814143e-05,-1.2525086983921027e-05,-1.2525087012227967e-05,-1.2525233100216383e-05,-1.2525233100252152e-05
0.24,-1.3593301580570587e-05,-1.3593321236456662e-05,-1.3663765148900913e-05,-1.3663765186332587e-05,-1.3663949685753302e-05,-1.3663949685803706e-05
0.25,-1.4767442399600312e-05,-1.4767466506985754e-05,-1.4849885313209515e-05,-1.4849885362173411e-05,-1.4850116247866393e-05,-1.4850116247936504e-05
0.26,-1.598904588604271e-05,-1.598907522345256e-05,-1.60849128838972e-05,-1.608491294730825e-05,-1.608519944772117e-05,-1.608519944781751e-05
0.27,-1.7258085262975486e-05,-1.7258120708519013e-05,-1.736892979446296e-05,-1.736892987582601e-05,-1.736928261212806e-05,-1.7369282612258962e-05
0.28,-1.8572480134404306e-05,-1.8572522674262745e-05,-1.8699967828518945e-05,-1.8699967932020974e-05,-1.870039906673193e-05,-1.8700399066907958e-05
0.29,-1.992934691492337e-05,-1.9929397652217874e-05,-2.007525860991737e-05,-2.0075258740530307e-05,-2.0075782135854004e-05,-2.0075782136088422e-05
0.3,-2.1327265656915426e-05,-2.132732582094585e-05,-2.1493500259356515e-05,-2.149350042295138e-05,-2.1494131808985294e-05,-2.1494131809294658e-05
0.31,-2.2767363130777083e-05,-2.2767434086637892e-05,-2.295594071741632e-05,-2.2955940920889488e-05,-2.295669807393069e-05,-2.295669807433552e-05
0.32,-2.425109584143544e-05,-2.425117910002656e-05,-2.4464161067298525e-05,-2.4464161318711022e-05,-2.44650642499362e-05,-2.4465064250461732e-05
0.33,-2.577773345586819e-05,-2.5777830684311028e-05,-2.6017558857285175e-05,-2.6017559166015884e-05,-2.6018630320798296e-05,-2.601863032147539e-05
0.34,-2.734182621162402e-05,-2.7341939244067394e-05,-2.761081475635902e-05,-2.761081513327272e-05,-2.761207960128787e-05,-2.7612079602154078e-05
0.35,-2.8936572563216432e-05,-2.8936703411994578e-05,-2.923725920979228e-05,-2.9237259667423422e-05,-2.9238745403554497e-05,-2.9238745404655294e-05
0.36,-3.056161918898728e-05,-3.056177005610772e-05,-3.0896672428036975e-05,-3.089667298079016e-05,-3.089841103684346e-05,-3.08984110382336e-05
0.37,-3.2223643121144026e-05,-3.222381641013455e-05,-3.259586770871573e-05,-3.259586837308394e-05,-3.2597893140524564e-05,-3.259789314226962e-05
0.38,-3.3927350857947935e-05,-3.392754918611497e-05,-3.4339691424886486e-05,-3.4339692219688055e-05,-3.434204168376511e-05,-3.434204168594325e-05
0.39,-3.5673428558373836e-05,-3.567365476949318e-05,-3.612897301298066e-05,-3.6128973959616025e-05,-3.6131689965179334e-05,-3.613168996788334e-05
0.4,-3.7461775725971596e-05,-3.7462032903403074e-05,-3.796375829386731e-05,-3.7963759416596714e-05,-3.7966887945786596e-05,-3.796688794912623e-05
0.41,-3.929315520001695e-05,-3.929344668023863e-05,-3.984495946038234e-05,-3.984496078662556e-05,-3.984855224861074e-05,-3.984855225271529e-05
0.42,-4.1171226064397924e-05,-4.117155545097368e-05,-4.1776388397918856e-05,-4.17763899585781e-05,-4.178049949158599e-05,-4.178049949660714e-05
0.43,-4.309875988866118e-05,-4.309913106666589e-05,-4.3760973338012824e-05,-4.376097516782e-05,-4.376566295376846e-05,-4.376566295988362e-05
0.44,-4.506832499000912e-05,-4.506874214090434e-05,-4.579144217836682e-05,-4.579144431625636e-05,-4.5796775908185683e-05,-4.579677591560157e-05
0.45,-4.706678846841899e-05,-4.706725608531152e-05,-4.785482246961465e-05,-4.785482495912333e-05,-4.7860871621322636e-05,-4.786087163027934e-05
0.46,-4.908781704937653e-05,-4.9088339952591e-05,-4.994494140229346e-05,-4.994494429198824e-05,-4.995178335257687e-05,-4.995178336335241e-05
0.47,-5.113404282051509e-05,-5.113462617347942e-05,-5.206459246048278e-05,-5.2064595804418106e-05,-5.207231102034838e-05,-5.2072311033263766e-05
0.48,-5.321039541758265e-05,-5.321104474307362e-05,-5.421886874187361e-05,-5.421887260007956e-05,-5.422755453476301e-05,-5.422755455018775e-05
