Time,U1_nodamp,U1_tmd,U2_nodamp,U2_tmd,U3_nodamp,U3_tmd
0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-2.6897979446538558e-08,-2.6897979446538565e-08,-2.689999978633941e-08,-2.6899999786369515e-08,-2.6899999999977404e-08,-2.68999999999774e-08
0.03,-1.0738309414840443e-07,-1.0738309414840451e-07,-1.0739999767176405e-07,-1.0739999767215313e-07,-1.0739999999969661e-07,-1.0739999999969665e-07
0.04,-2.4113877718514495e-07,-2.411387771851455e-07,-2.4119998829308544e-07,-2.411999882954622e-07,-2.4119999999806386e-07,-2.4119999999806433e-07
0.05,-4.27844042877293e-07,-4.278440428772952e-07,-4.2799996030755373e-07,-4.279999603172315e-07,-4.2799999999175807e-07,-4.2799999999176045e-07
0.06,-6.67190182083949e-07,-6.67190182083957e-07,-6.675165604902809e-07,-6.675165605207416e-07,-6.67516666639575e-07,-6.675166666395832e-07
0.07,-9.588807888634457e-07,-9.5888078886347e-07,-9.594830908030234e-07,-9.594830908833175e-07,-9.594833332588762e-07,-9.594833332588997e-07
0.08,-1.3024151426990623e-06,-1.302415142699127e-06,-1.3034328384393918e-06,-1.303432838625385e-06,-1.3034333331538324e-06,-1.3034333331538917e-06
0.09,-1.6972216109945682e-06,-1.6972216109947202e-06,-1.6988324055218168e-06,-1.698832405912335e-06,-1.6988333329417841e-06,-1.698833332941924e-06
0.1,-2.1429410175459685e-06,-2.142941017546297e-06,-2.1453650384548163e-06,-2.145365039213852e-06,-2.145366665877355e-06,-2.145366665877662e-06
0.11,-2.6394099732238096e-06,-2.6394099732244736e-06,-2.6429139569316667e-06,-2.642913958317926e-06,-2.642916665173916e-06,-2.642916665174547e-06
0.12,-3.1864942094526235e-06,-3.1864942094538965e-06,-3.1913956825924706e-06,-3.1913956849976655e-06,-3.191399997321981e-06,-3.19139999732321e-06
0.13,-3.783755291121494e-06,-3.7837552911238297e-06,-3.790426700672978e-06,-3.7904267046703805e-06,-3.7904333287374e-06,-3.790433328739678e-06
0.14,-4.430584033883866e-06,-4.430584033887982e-06,-4.439456787989915e-06,-4.439456794394808e-06,-4.439466659072222e-06,-4.439466659076259e-06
0.15,-5.126750534281113e-06,-5.1267505342881124e-06,-5.138319007268147e-06,-5.138319017211938e-06,-5.1383333211877004e-06,-5.138333321194589e-06
0.16,-5.87235413083157e-06,-5.8723541308431e-06,-5.887179701135128e-06,-5.887179716154997e-06,-5.88719998112224e-06,-5.88719998113363e-06
0.17,-6.667973325792325e-06,-6.667973325810801e-06,-6.686688485770968e-06,-6.686688507917045e-06,-6.686716638053745e-06,-6.686716638072045e-06
0.18,-7.514199038002034e-06,-7.514199038030912e-06,-7.537511577538764e-06,-7.537511609500978e-06,-7.5375499575890785e-06,-7.537549957617735e-06
0.19,-8.410301365642144e-06,-8.410301365686276e-06,-8.438998452608182e-06,-8.438998497865024e-06,-8.439049938380024e-06,-8.439049938423881e-06
0.2,-9.354479870934656e-06,-9.35447987100075e-06,-9.389431839615336e-06,-9.389431902606937e-06,-9.389499912065104e-06,-9.389499912130873e-06
0.21,-1.034543043670862e-05,-1.0345430436805817e-05,-1.0387594378722245e-05,-1.0387594465050193e-05,-1.0387683209869937e-05,-1.0387683209966753e-05
0.22,-1.1382528606992505e-05,-1.138252860713308e-05,-1.143295194706648e-05,-1.143295206372303e-05,-1.1433066495865423e-05,-1.1433066496005544e-05
0.23,-1.2465262916391703e-05,-1.2465262916591916e-05,-1.2525086983921027e-05,-1.2525087139550422e-05,-1.2525233100216383e-05,-1.2525233100416081e-05
0.24,-1.3593301580570587e-05,-1.359330158085175e-05,-1.3663765148900913e-05,-1.3663765354095648e-05,-1.3663949685753302e-05,-1.3663949686033926e-05
0.25,-1.4767442399600312e-05,-1.4767442399990095e-05,-1.4849885313209515e-05,-1.4849885580844486e-05,-1.4850116247866393e-05,-1.4850116248255629e-05
0.26,-1.598904588604271e-05,-1.598904588657665e-05,-1.60849128838972e-05,-1.6084913229504778e-05,-1.608519944772117e-05,-1.6085199448254562e-05
0.27,-1.7258085262975486e-05,-1.7258085263698787e-05,-1.736892979446296e-05,-1.736893023665221e-05,-1.736928261212806e-05,-1.736928261285087e-05
0.28,-1.8572480134404306e-05,-1.857248013537405e-05,-1.8699967828518945e-05,-1.869996838944232e-05,-1.870039906673193e-05,-1.870039906770131e-05
0.29,-1.992934691492337e-05,-1.992934691621107e-05,-2.007525860991737e-05,-2.0075259315788328e-05,-2.0075782135854004e-05,-2.007578213714155e-05
0.3,-2.1327265656915426e-05,-2.1327265658610027e-05,-2.1493500259356515e-05,-2.1493501141021566e-05,-2.1494131808985294e-05,-2.149413181068007e-05
0.31,-2.2767363130777083e-05,-2.2767363132988442e-05,-2.295594071741632e-05,-2.2955941810985062e-05,-2.295669807393069e-05,-2.2956698076142737e-05
0.32,-2.425109584143544e-05,-2.4251095844298347e-05,-2.4464161067298525e-05,-2.4464162414835512e-05,-2.44650642499362e-05,-2.446506425280056e-05
0.33,-2.577773345586819e-05,-2.577773345954706e-05,-2.6017558857285175e-05,-2.6017560507567462e-05,-2.6018630320798296e-05,-2.6018630324479752e-05
0.34,-2.734182621162402e-05,-2.734182621631828e-05,-2.761081475635902e-05,-2.761081676570326e-05,-2.761207960128787e-05,-2.761207960598631e-05
0.35,-2.8936572563216432e-05,-2.8936572569166716e-05,-2.923725920979228e-05,-2.9237261642955472e-05,-2.9238745403554497e-05,-2.9238745409511145e-05
0.36,-3.056161918898728e-05,-3.0561619196482466e-05,-3.0896672428036975e-05,-3.089667535919495e-05,-3.089841103684346e-05,-3.089841104434795e-05
0.37,-3.2223643121144026e-05,-3.222364313052921e-05,-3.259586770871573e-05,-3.2595871222523475e-05,-3.2597893140524564e-05,-3.259789314992296e-05
0.38,-3.3927350857947935e-05,-3.392735086963356e-05,-3.4339691424886486e-05,-3.433969561762466e-05,-3.434204168376511e-05,-3.434204169546905e-05
0.39,-3.5673428558373836e-05,-3.5673428572845976e-05,-3.612897301298066e-05,-3.612897799379265e-05,-3.6131689965179334e-05,-3.613168997967632e-05
0.4,-3.7461775725971596e-05,-3.746177574380356e-05,-3.796375829386731e-05,-3.7963764186091484e-05,-3.7966887945786596e-05,-3.796688796365166e-05
0.41,-3.929315520001695e-05,-3.929315522188221e-05,-3.984495946038234e-05,-3.9844966402984106e-05,-3.984855224861074e-05,-3.9848552270519466e-05
0.42,-4.1171226064397924e-05,-4.117122609108469e-05,-4.1776388397918856e-05,-4.177639654702711e-05,-4.178049949158599e-05,-4.1780499518329155e-05
0.43,-4.309875988866118e-05,-4.3098759921088736e-05,-4.3760973338012824e-05,-4.3760982868565806e-05,-4.376566295376846e-05,-4.3765662986268504e-05
0.44,-4.506832499000912e-05,-4.5068325029245986e-05,-4.579144217836682e-05,-4.5791453285872375e-05,-4.5796775908185683e-05,-4.579677594751489e-05
0.45,-4.706678846841899e-05,-4.706678851570303e-05,-4.785482246961465e-05,-4.7854835372029925e-05,-4.7860871621322636e-05,-4.786087166872345e-05
0.46,-4.908781704937653e-05,-4.908781710613738e-05,-4.994494140229346e-05,-4.9944956342029116e-05,-4.995178335257687e-05,-4.995178340948447e-05
0.47,-5.113404282051509e-05,-5.1134042888399025e-05,-5.206459246048278e-05,-5.206460970653659e-05,-5.207231102034838e-05,-5.207231108841559e-05
0.48,-5.321039541758265e-05,-5.321039549847988e-05,-5.421886874187361e-05,-5.4218888592098864e-05,-5.422755453476301e-05,-5.422755461588791e-05
0.49,-5.531570209056436e-05,-5.531570218663927e-05,-5.64067629442849e-05,-5.640678572779868e-05,-5.6416513797028384e-05,-5.641651389338469e-05
0.5,-5.744620523086576e-05,-5.7446205344590234e-05,-5.862468401881339e-05,-5.8624710098550056e-05,-5.863560536542119e-05,-5.863560547949186e-05
0.51,-5.9604428904945265e-05,-5.960442903913501e-05,-6.087532382298145e-05,-6.087535359839675e-05,-6.088752912123826e-05,-6.088752925585208e-05
0.52,-6.179517792694134e-05,-6.179517808479599e-05,-6.316365710704634e-05,-6.316369101697715e-05,-6.317726826804341e-05,-6.317726842641541e-05
0.53,-6.401813783319556e-05,-6.401813801834241e-05,-6.548954150009499e-05,-6.548958002578072e-05,-6.550468933087594e-05,-6.550468951665145e-05
0.54,-6.626729259101535e-05,-6.626729280755729e-05,-6.784713416277456e-05,-6.784717783104542e-05,-6.786395882208595e-05,-6.786395903938874e-05
0.55,-6.853815873400199e-05,-6.853815898656979e-05,-7.02321251068059e-05,-7.023217449344384e-05,-7.025077657379553e-05,-7.025077682728053e-05
0.56,-7.083406814172842e-05,-7.083406843553742e-05,-7.264802051452155e-05,-7.264807624779895e-05,-7.266865907031828e-05,-7.266865936522896e-05
0.57,-7.316285002460736e-05,-7.316285036551919e-05,-7.510282605819392e-05,-7.510288882259623e-05,-7.512562278053599e-05,-7.512562312276664e-05
0.58,-7.553196330332485e-05,-7.55319636979145e-05,-7.760418021902265e-05,-7.760425075916046e-05,-7.762931749023099e-05,-7.762931788639447e-05
0.59,-7.793483084332161e-05,-7.793483129895024e-05,-8.014568760593036e-05,-8.01457667306467e-05,-8.017335963437361e-05,-8.017336009187467e-05
0.6,-8.03536256376851e-05,-8.035362616257891e-05,-8.270970227459511e-05,-8.270979086127374e-05,-8.274011562936308e-05,-8.274011615647806e-05
0.61,-8.27861882063485e-05,-8.278618880968393e-05,-8.529424438022217e-05,-8.529434337930298e-05,-8.532761853855443e-05,-8.532761914451726e-05
0.62,-8.524424077384633e-05,-8.524424146584206e-05,-8.791121683028098e-05,-8.79113272699878e-05,-8.794778473773701e-05,-8.794778543283215e-05
0.63,-8.7726186628138e-05,-8.772618742015403e-05,-9.055920527027763e-05,-9.05593282615646e-05,-9.059921391389692e-05,-9.059921470955957e-05
0.64,-9.022399531929409e-05,-9.022399622393849e-05,-9.323036140292069e-05,-9.3230498144643e-05,-9.327407239726204e-05,-9.327407330618616e-05
0.65,-9.274615210387638e-05,-9.274615313512049e-05,-9.593335297411132e-05,-9.593350475842606e-05,-9.598104315996208e-05,-9.598104419621669e-05
