Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
2.56,3.62E-06,-2.24E-05,0.09929048
2.58,-1.05E-07,-0.001506405,-0.247694943
2.6,-4.04E-05,-0.000550329,0.343302598
2.62,-1.68E-05,0.001203662,-0.167903565
2.64,-1.88E-05,-0.001024382,-0.054900769
2.66,-4.13E-05,-0.000784175,0.078921416
2.68,-3.71E-05,0.001417993,0.141295353
2.7,-6.92E-06,0.000271787,-0.255915881
2.72,-2.14E-05,-0.000155578,0.213179332
2.74,-1.06E-05,-0.000208676,-0.218489068
2.76,-3.61E-05,-0.001217214,0.117635241
2.78,-3.42E-05,0.001538125,0.157898601
2.8,4.66E-06,0.001181244,-0.193586617
2.82,1.67E-05,0.00138331,0.213793215
2.84,3.90E-05,-0.001561774,-0.508301617
2.86,-2.06E-05,-0.000742729,0.590206107
2.88,2.30E-05,0.002126177,-0.303315555
2.9,8.38E-06,-0.003408121,-0.250114263
2.92,-5.46E-05,-0.000124765,0.57844988
2.94,2.44E-06,0.003016816,-0.264291784
2.96,3.08E-05,0.000869652,0.049575388
2.98,3.76E-05,-0.00121709,-0.258249558
3,-8.34E-07,-0.000753356,0.304622939
3.02,1.27E-05,0.000497158,-0.179571481
3.04,2.17E-07,-0.00107758,0.022097639
3.06,4.50E-07,0.001969059,0.282566238
3.08,4.86E-05,0.000455589,-0.4339132
3.1,2.09E-05,-0.000723675,0.315986752
3.12,3.70E-05,0.000699135,-0.173705678
3.14,8.25E-06,-0.003970287,-0.293236593
3.16,-8.01E-05,-0.00237498,0.452767355
3.18,-6.33E-05,0.002732439,0.057974502
3.2,-7.95E-06,0.002262567,-0.1049617
3.22,3.03E-05,0.002262944,0.104999411
3.24,6.86E-05,0.000168555,-0.314438343
3.26,4.66E-05,-0.000495941,0.24798876
3.28,4.87E-05,-0.001176233,-0.316017925
3.3,-2.62E-05,-0.005712244,-0.137583204
3.32,-0.000115417,-0.000586041,0.650203479
