time(t), H.Exact(u), C.D(u1), C.D(v1), C.D(a1), N.L.A(u2), N.L.A(v2), N.L.A(a2)
0.3, 0.0009486529026547746, -3.564403201096205e-05, -0.00017415251092332945, 0.00023507662108058447, -3.446191414964075e-05, -0.00016968397998346917, 0.00021728660679933703
0.32, 0.0010909183290169222, -3.908006690521252e-05, -0.00012313455229082557, 0.0048667192421698036, -3.750556187914036e-05, -0.00011935206552599581, 0.004815904838948011
0.34, 0.0012360670359675187, -4.056941410259507e-05, -3.736813514222596e-05, 0.003709922472690158, -3.900926385546401e-05, -3.501021378603665e-05, 0.0036182803350479076
0.36, 0.0013818338899999308, -4.057479231090156e-05, 1.9325177819334427e-05, 0.0019594088234658803, -3.9104074797436105e-05, 1.9615982925780083e-05, 0.001844339336133767
0.38, 0.0015259573014620475, -3.9796406989821696e-05, 7.736317486249968e-05, 0.0038443908808506455, -3.8218750600755906e-05, 7.512327028913196e-05, 0.003706389400201419
0.4, 0.0016662504100991556, -3.748026531640157e-05, 0.0001477479821543747, 0.0031940898483368563, -3.601977182217134e-05, 0.00014253638220740637, 0.0030349217916260185
0.42, 0.0018006686237782659, -3.388648770364671e-05, 0.00026566778627916664, 0.008597890564142337, -3.220460034498284e-05, 0.0002568537392472031, 0.008396813912353644
0.44, 0.0019273714192976706, -2.6853553865234907e-05, 0.00030856041884239484, -0.004308627307819517, -2.6247601820971392e-05, 0.0002958741609837742, -0.00449477173869655
0.46, 0.002044776534635746, -2.1544070949950914e-05, 0.00027440691642127495, 0.0008932770657075245, -2.0879701821417023e-05, 0.0002583843953525722, 0.0007457951755763387
0.48, 0.002151604958243955, -1.587727720838391e-05, 0.0002647825081309697, -0.0018557178947380525, -1.5743557253446127e-05, 0.00024619494273472674, -0.001964740437360904
0.5, 0.0022469154432263193, -1.0952770624712126e-05, 0.0003380329012507317, 0.00918075720671425, -1.047736891784906e-05, 0.00031718576924371576, 0.009063823088259787
0.52, 0.0023301276313634984, -2.355961158354642e-06, 0.0004239334035857158, -0.0005907069732158315, -2.9717389057778022e-06, 0.0004008347324406595, -0.000698926768565436
0.54, 0.0024010332519104555, 6.004565518716509e-06, 0.0004065238474149558, -0.0011502486438601774, 4.871172998783193e-06, 0.0003817565884884847, -0.0012088876266520693
0.56, 0.0024597952503833138, 1.390499273824359e-05, 0.00042100840954866864, 0.0025987048572314675, 1.2516605371740279e-05, 0.00039539055523311406, 0.002572284301115016
0.58, 0.0025069350905082663, 2.2844901900663257e-05, 0.0005159098931764228, 0.006891443505543945, 2.1224796783963673e-05, 0.0004897247583561309, 0.0068611360111866665
0.6, 0.0025433088457877556, 3.45413884653005e-05, 0.0006312562384902468, 0.004643191025838453, 3.2241227538160383e-05, 0.0006044037363053777, 0.004606761783737978
0.62, 0.0025700730440894174, 4.809515144027313e-05, 0.00045674247379348296, -0.02209456749551484, 4.347781042154491e-05, 0.00043061234205954456, -0.021985901208321307
0.64, 0.002588641538672923, 5.281108741703982e-05, 0.00033513541929679804, 0.009933862045846347, 4.98322845586991e-05, 0.000311805448537252, 0.010105211856092033
0.66, 0.002600634942898425, 6.150056821214505e-05, 0.0004200321981262584, -0.0014441841629003142, 5.73310510249961e-05, 0.0004001519543091257, -0.0012705612789046666
0.68, 0.0026078243759068394, 6.961237534209016e-05, 0.0003482426523043164, -0.005734770419293888, 6.479792814074029e-05, 0.0003324332715324222, -0.0055013069987657065
0.7, 0.002612071417078016, 7.54302743043177e-05, 0.00014963359203340674, -0.014126135607797073, 6.979427998715502e-05, 0.0001395993038850228, -0.013782089765974226
