Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
0,0,0,9.63737E-06
0.02,2.23872E-09,2.39435E-07,1.43061E-05
0.04,1.11511E-08,7.14922E-07,3.32426E-05
0.06,3.0521E-08,1.14323E-06,9.58781E-06
0.08,5.53389E-08,1.34035E-06,1.01242E-05
0.1,8.38827E-08,1.49964E-06,5.8053E-06
0.12,1.15389E-07,1.66867E-06,1.10974E-05
0.14,1.50112E-07,1.7601E-06,-1.95437E-06
0.16,1.84895E-07,1.71673E-06,-2.38279E-06
0.18,2.20708E-07,1.96239E-06,2.69487E-05
0.2,2.6452E-07,2.37757E-06,1.45692E-05
0.22,3.15507E-07,2.74722E-06,2.23961E-05
0.24,3.73648E-07,3.00276E-06,3.15847E-06
0.26,4.36775E-07,3.43195E-06,3.97596E-05
0.28,5.11992E-07,4.02108E-06,1.91542E-05
0.3,5.96095E-07,4.38164E-06,1.6901E-05
0.32,6.84203E-07,4.28393E-06,-2.66716E-05
0.34,7.65265E-07,3.85813E-06,-1.59087E-05
0.36,8.40281E-07,3.69522E-06,-3.82097E-07
0.38,9.12766E-07,3.4862E-06,-2.05202E-05
0.4,9.786E-07,3.1079E-06,-1.73089E-05
0.42,1.03355E-06,2.19953E-06,-7.35289E-05
0.44,1.07073E-06,1.9132E-06,4.48964E-05
0.46,1.11432E-06,2.26291E-06,-9.9257E-06
0.48,1.15903E-06,2.28055E-06,1.16898E-05
0.5,1.19957E-06,1.40353E-06,-9.9392E-05
0.52,1.21359E-06,2.88822E-07,-1.20783E-05
0.54,1.21689E-06,3.85258E-08,-1.29513E-05
0.56,1.21227E-06,-6.41031E-07,-5.50044E-05
0.58,1.18524E-06,-2.22145E-06,-0.000103038
0.6,1.1211E-06,-4.14759E-06,-8.95764E-05
0.62,1.03689E-06,-3.44108E-06,0.000160228
0.64,9.79371E-07,-3.34803E-06,-0.000150924
0.66,8.89197E-07,-5.32071E-06,-4.63444E-05
0.68,7.76013E-07,-5.87269E-06,-8.8528E-06
0.7,6.62079E-07,-5.25624E-06,7.04973E-05
0.72,5.65645E-07,-4.65766E-06,-1.0639E-05
0.74,4.66616E-07,-5.43266E-06,-6.68616E-05
0.76,3.55553E-07,-5.12548E-06,9.75803E-05
0.78,2.61943E-07,-4.76634E-06,-6.16666E-05
0.8,1.57938E-07,-5.45144E-06,-6.84368E-06
0.82,4.83436E-08,-5.46779E-06,5.20919E-06
0.84,-6.07764E-08,-5.4845E-06,-6.88075E-06
0.86,-1.69247E-07,-5.23285E-06,3.20458E-05
0.88,-2.75237E-07,-5.75323E-06,-8.40835E-05
0.9,-3.98502E-07,-6.14236E-06,4.5171E-05
0.92,-5.11929E-07,-5.18112E-06,5.0952E-05
0.94,-6.073E-07,-4.45293E-06,2.18673E-05
0.96,-6.89562E-07,-3.65201E-06,5.82253E-05
0.98,-7.53568E-07,-2.87921E-06,1.90543E-05
1,-8.06157E-07,-2.32053E-06,3.68138E-05
1.02,-8.49739E-07,-2.26438E-06,-3.11991E-05
1.04,-8.89879E-07,-1.18012E-06,0.000139625
1.06,-8.95318E-07,1.48026E-07,-6.80975E-06
1.08,-8.95251E-07,-2.17911E-07,-2.9784E-05
1.1,-8.96837E-07,4.95798E-07,0.000101155
1.12,-8.69539E-07,2.09156E-06,5.84216E-05
1.14,-8.23787E-07,2.09546E-06,-5.80319E-05
1.16,-7.99289E-07,6.40489E-08,-0.000145109
1.18,-8.11743E-07,-5.45049E-07,8.41995E-05
1.2,-8.1508E-07,-2.52491E-07,-5.49437E-05
1.22,-8.29147E-07,-1.05555E-06,-2.53623E-05
1.24,-8.58296E-07,-2.00763E-06,-6.98458E-05
1.26,-9.03302E-07,-2.03722E-06,6.68868E-05
1.28,-9.22698E-07,4.96172E-07,0.000186453
1.3,-8.92545E-07,1.66612E-06,-6.94575E-05
1.32,-8.78774E-07,-5.7198E-07,-0.000154353
1.34,-9.24199E-07,-4.1263E-06,-0.000201079
1.36,-1.03825E-06,-6.84393E-06,-7.06842E-05
1.38,-1.18569E-06,-7.722E-06,-1.71234E-05
1.4,-1.34827E-06,-8.77143E-06,-8.78196E-05
1.42,-1.54717E-06,-1.14145E-05,-0.000176491
1.44,-1.79922E-06,-1.32123E-05,-3.28589E-06
1.46,-2.05679E-06,-1.21785E-05,0.000106669
1.48,-2.28172E-06,-1.045E-05,6.61751E-05
1.5,-2.48389E-06,-1.0087E-05,-2.98732E-05
1.52,-2.69237E-06,-1.07984E-05,-4.1262E-05
1.54,-2.91176E-06,-1.08994E-05,3.11571E-05
1.56,-3.12963E-06,-1.11926E-05,-6.04704E-05
1.58,-3.37153E-06,-1.32957E-05,-0.000149841
1.6,-3.65662E-06,-1.46743E-05,1.19812E-05
1.62,-3.94811E-06,-1.44943E-05,6.01601E-06
1.64,-4.23565E-06,-1.4203E-05,2.31108E-05
1.66,-4.51212E-06,-1.32947E-05,6.77264E-05
1.68,-4.76756E-06,-1.24041E-05,2.13241E-05
1.7,-5.00466E-06,-1.09698E-05,0.000122107
1.72,-5.19015E-06,-7.10527E-06,0.000264351
1.74,-5.2992E-06,-4.79027E-06,-3.28513E-05
1.76,-5.40332E-06,-5.70879E-06,-5.90004E-05
1.78,-5.51417E-06,-4.62107E-06,0.000167772
1.8,-5.57094E-06,-9.49849E-07,0.00019935
1.82,-5.55432E-06,2.39896E-06,0.000135532
1.84,-5.48259E-06,4.6056E-06,8.51322E-05
1.86,-5.3731E-06,6.36176E-06,9.04834E-05
1.88,-5.2323E-06,7.49051E-06,2.23913E-05
1.9,-5.08091E-06,7.50344E-06,-2.10979E-05
1.92,-4.9433E-06,5.84641E-06,-0.000144605
